fold,method,readable,n conditions,time only,train support,valid coverage,train effect,valid effect,valid effect CI low,valid effect CI high,enough coverage,same direction,CI excludes 0,validated,time window coverage,formulation effect in window,formulation CI low,formulation CI high,formulation part holds,raw rule
1,RuleFit,IF Drug Encapsulation Efficiency is not High AND Log1p Time ≤ 2.948 AND Log1p Time > 0.8968,3,False,0.3141455859576665,0.1739,0.15894438861776533,0.1470868427507619,-0.03362637002495713,0.29139613199093095,True,True,False,False,0.5004830917874397,0.30866555481573704,0.10682717587582756,0.4298054967647573,True,Drug Encapsulation Efficiency is High <= 0.418381 and Log1p Time <= 2.94803 and Log1p Time > 0.896839
1,RuleFit,IF Log1p Time > 2.295,1,True,0.4628291171915333,0.5797,0.37081523415246254,0.39851862577416813,0.3316444101395651,0.47767019193888216,True,True,True,True,,,,,False,Log1p Time > 2.29476
1,RuleFit,IF Log1p Time > 1.463,1,True,0.6786267423851317,0.7633,0.4293051170207257,0.44323844284162944,0.3961976776584611,0.5082242396128326,True,True,True,True,,,,,False,Log1p Time > 1.46273
1,RuleFit,IF Particle Size is not clearly Medium AND Log1p Time > 1.833,2,False,0.5622096024780588,0.6908,0.3992699756337713,0.41539633632975126,0.35813235699771545,0.4759463211049563,True,True,True,True,,,,,False,Particle Size is Medium <= 0.834821 and Log1p Time > 1.83286
1,RuleFit,IF Drug Encapsulation Efficiency is not clearly High AND Log1p Time ≤ 2.834 AND Log1p Time > 1.462,3,False,0.2733608673205989,0.2155,0.17813635576989273,0.07253636656416945,-0.12403346210459652,0.2563343509925153,True,True,False,False,0.3690821256038647,0.2568260343774679,0.04248937355281294,0.3970131230213957,True,Drug Encapsulation Efficiency is High <= 0.575438 and Log1p Time <= 2.83377 and Log1p Time > 1.46175
1,RuleFit,IF Log1p Time > 2.187,1,True,0.4891584925141972,0.6087,0.37851177888915283,0.39207612377567613,0.32569503766866065,0.4663129283326917,True,True,True,True,,,,,False,Log1p Time > 2.1873
1,RuleFit,IF Polymer MW is not Medium AND Drug Encapsulation Efficiency is not clearly High AND Log1p Time ≤ 2.48 AND Log1p Time > 0.8302,4,False,0.10351058337635519,0.1159,0.17735510034767843,0.12840631718910617,-0.02823669271787671,0.2494104899542531,True,True,False,False,0.3342995169082126,0.3565092300275812,0.0661630113007795,0.516644285813976,True,Polymer MW is Medium <= 0.189939 and Drug Encapsulation Efficiency is High <= 0.571284 and Log1p Time <= 2.48032 and Log1p Time > 0.830195
1,RuleFit,IF Drug MW is mostly Low AND Particle Size is not clearly Medium AND Log1p Time > 1.596,3,False,0.1373257614868353,0.029,0.2898093972138458,0.3398577598618226,,,False,True,False,False,0.7555555555555555,0.23039659273414437,-0.00492556239013575,0.4129816766629304,False,Drug MW is Low > 0.798523 and Particle Size is Medium <= 0.84263 and Log1p Time > 1.59556
1,RuleFit,IF Drug MW is not Medium AND Log1p Time > 1.148,2,False,0.13758389261744966,0.0309,0.24563878825698504,0.3315674886123094,,,False,True,False,False,0.821256038647343,0.2515631436618775,0.044498795764309595,0.4115817972289193,True,Drug MW is Medium <= 0.179898 and Log1p Time > 1.1478
1,RuleFit,IF Polymer MW is not clearly Medium AND Log1p Time > 2.834,2,False,0.25838926174496646,0.3942,0.33659586929855406,0.41261592954695986,0.26615286759105233,0.5394651880499752,True,True,True,True,,,,,False,Polymer MW is Medium <= 0.975082 and Log1p Time > 2.83377
